iter	Logloss
0	0.6931345297
1	0.6931378173
2	0.693124892
3	0.6931256505
4	0.6931155272
5	0.6931044384
6	0.6931079289
7	0.6930980107
8	0.6930871248
9	0.6930908216
10	0.6930811075
11	0.6930729549
12	0.6930768558
13	0.6930650889
14	0.6930583626
115	0.693054781
16	0.6930494854117	0.6930443935118	0.6930393011919	0.6930342772020	0.6930292532121	0.69302436522	0.6930223206
23	0.6930177868
24	0.6930091623
25	0.6930043568
26	0.6929982448
27	0.6929936438
28	0.692985155
29	0.6929905016
30	0.6929875993
31	0.6929806733
32	0.692976072
33	0.692971744
34	0.6929673477
35	0.6929630871
36	0.6929587591
37	0.6929545664
38	0.6929503747
39	0.692946319
40	0.6929421268
41	0.6929382757
42	0.6929351876
43	0.6929312686
44	0.6929173336
45	0.6929134142
46	0.6929134506
47	0.6929095311
48	0.6929086856
49	0.6929045623
50	0.6929008482
51	0.6928993225
52	0.6928972543
53	0.6928835921
54	0.6928839018
55	0.6928803223
56	0.6928794098
57	0.6928787011
58	0.6928766346
59	0.692864127
60	0.6928637579
61	0.6928625739
62	0.6928619331
63	0.6928600023
64	0.6928505686
65	0.6928495884
66	0.6928485408
67	0.6928474263
68	0.6928381969
69	0.6928371489
70	0.6928367808
71	0.6928260582
72	0.6928256895
73	0.6928278533
74	0.6928263298
75	0.6928168973
76	0.6928152401
77	0.692817674
78	0.692808377
79	0.6928068554
80	0.692809358
81	0.6928001303
82	0.6928024959
83	0.6927921819
84	0.6927948877
85	0.6927945891
86	0.6927868052
87	0.6927855551
88	0.6927893487
89	0.692779171
90	0.692781741
91	0.6927741604
92	092	0.692773093	093	0.6927666901
94	0.6927697369
95	0.6927721043
96	0.6927619945
97	0.6927651782
98	0.6927573944
99	0.6927605086
100	0.6927527933
101	0.6927531068
102	0.6927456625
103	0.692748642
104	0.6927412671
105	0.6927442462
106	0.6927368707
107	0.6927399182
108	0.6927326785
109	0.6927357272
110	0.6927284876
111	0.6927313997
112	0.6927244322
113	0.6927302814
114	0.6927227713
115	0.6927262946
116	0.6927191914
117	0.6927219677
118	0.6927136425
119	0.6927205784
120	0.6927136795
121	0.6927067126
122	0.6927098285
123	0.6927053239
124	0.6927087123
125	0.6927004549
126	0.6927078668
127	0.6927006961
128	0.692695224
129	0.6926996475
130	0.6926914596
131	0.6926989393
132	0.6926918372
133	0.6926874684
134	0.6926909933
135	0.6926867606
136	0.6926798622
137	0.6926859846
138	0.6926780005
139	0.6926855487
140	0.6926785144
141	0.6926746207
142	0.6926778072
143	0.6926737784
144	0.6926685105
145	0.6926731393
146	0.692669179
147	0.6926640468
148	0.6926686761
149	0.6926645789
150	0.6926595152
151	0.69266421152152	0.69266011153153	0.69265642154154	0.69265981155155	0.69265619156156	0.69265067157157	0.69265842158	0.6926515985
159	0.6926464165
160	0.6926453088
161	0.6926500738
162	0.6926465219
163	0.6926409996
164	0.6926459517
165165	0.69264226166166	0.69263694167167	0.69263597168168	0.69264080169169	0.69263732170	0.6926319384
171	0.6926398957
172	0.6926357315
173	0.6926322476
174	0.6926269311
175	0.6926349562
176	0.692630861
177	0.6926274444
178	0.6926221273
179	0.6926287945
180	0.692626058
181	0.6926227776
182	0.6926189551
183	0.692625486
184	0.6926214601
185	0.6926178398
186	0.6926142883
187	0.6926119591
188	0.6926172685
189	0.6926134466
190	0.6926100305
191	0.6926089408
192	0.6926155407
193	0.6926115136
194	0.6926080992
195	0.6926045474
196	0.6926010638
197	0.6926102617
198	0.6926063031
199	0.6926028882
200	0.6925994041
201	0.6925959896
202	0.6926052549
203	0.6926017041
204	0.6925979497
205	0.6925945341
206	0.6925910512
207	0.6926002492
208	0.6925968342
209	0.6925946411
210	0.692592059
211	0.6925889156
212	0.6925853637
213	0.6925908099
214	0.6925912151
215	0.6925890227
216	0.6925842498
217	0.692583296
218	0.6925798816
219	0.692585532
220	0.6925858699
221	0.6925836763
222	0.692578564
223	0.6925780187
224	0.6925747406
225	0.6925842102
226	0.6925807273
227	0.6925785349
228	0.6925762922
229	0.6925730814
230	0.6925723318
231	0.692579136
232	0.692574568
233	0.692575041
234	0.6925728491
235	0.6925705374
236	0.6925674635
237	0.6925667835
238	0.6925735875
239	0.6925690869
240	0.6925682015
241	0.6925673675
242	0.6925666869
