iter	Passed	Remaining
0	0	706
1	1	686
2	2	673
3	2	661
4	3	657
5	3	653
6	4	646
7	5	646
8	5	646
9	6	645
10	7	641
11	7	639
12	8	642
13	9	641
14	9	650
15	10	646
16	11	651
17	11	646
18	12	655
19	13	655
20	13	650
21	14	657
22	16	718
23	17	726
24	18	720
25	18	711
26	19	703
27	20	697
28	20	700
29	21	704
30	22	707
31	23	699
32	23	693
33	24	706
34	25	710
35	26	703
36	26	696
37	27	690
38	27	684
39	28	682
40	29	687
41	30	685
42	30	684
43	31	687
44	32	685
45	33	685
46	33	681
47	34	684
48	35	680
49	36	694
50	37	694
51	38	695
52	38	694
53	39	696
54	40	701
55	41	703
56	42	705
57	43	704
58	44	702
59	44	700
60	45	699
61	46	696
62	46	694
63	47	693
64	48	691
65	48	690
66	49	688
67	50	687
68	50	685
69	51	683
70	52	682
71	52	681
72	53	679
73	54	678
74	54	677
75	55	675
76	56	674
77	57	673
78	57	671
79	58	670
80	58	669
81	59	669
82	60	666
83	61	665
84	61	665
85	62	661
86	62	658
87	63	656
88	63	653
89	64	650
90	64	647
91	65	645
92	64	627
93	65	626
94	65	625
95	66	623
96	66	622
97	67	621
98	68	619
99	68	618
100	69	616
101	69	615
102	70	614
103	71	614
104	72	615
105	72	614
106	73	614
107	74	616
108	75	617
109	76	616
110	76	615
111	77	614
112	78	613
113	78	611
114	79	610
115	79	609
116	80	607
117	81	606
118	81	605
119	82	604
120	83	603
121	83	602
122	84	601
123	84	600
124	85	599
125	86	598
126	86	597
127	87	596
128	88	595
129	88	594
130	89	594
131	90	593
132	90	591
133	91	589
134	91	587
135	92	585
136	92	584
137	93	582
138	93	582
139	94	581
140	95	581
141	96	580
142	96	579
143	97	578
144	97	576
145	98	574
146	98	573
147	99	571
148	99	569
149	100	568
150	100	566
151	101	564
152	101	563
153	102	561
154	102	559
155	103	559
156	104	559
157	104	558
15158	107	5615159	108	5616160	109	5616161	109	5616162	110	5616163	110	5616164	111	56165	110	553
166	110	552
167	111	551
168	112	550
169	112	549
17170	115	5517171	115	5517172	116	5517173	117	5517174	117	555
175	118	554
176	118	553
177	119	552
178	120	552
179	120	551
180	121	550
181	122	549
182	122	548
183	123	546
184	123	545
185	124	543
186	124	542
187	125	541
188	125	540
189	126	5319190	126	5319191	127	5319192	128	536
193	129	536
194	129	536
195	130	535
196	131	535
197	131	534
198	132	533
199	133	533
200	134	532
201	134	532
202	135	531
203	136	531
204	136	530
205	137	529
206	138	529
207	138	528
208	139	5220209	140	528
210	141	528
211	141	527
212	142	527
213	143	526
214	144	526
215	144	525
216	145	525
217	146	524
218	146	524
219	147	523
220	148	522
221	148	521
222	149	521
223	150	520
224	150	519
225	151	519
226	152	519
227	153	518
228	153	517
229	154	516
230	155	516
231	155	515
232	156	515
233	157	514
234	157	514
235	158	513
236	159	513
237	160	512
238	160	511
239	161	511
240	162	510
241	162	510
242	163	509
243	164	508
244	164	508
245	165	507
246	166	506
247	167	506
248	167	505
249	168	504
250	168	503
251	169	501
252	169	500
253	170	499
254	171	499
255	171	498
256	172	497
257	172	496
258	173	495
259	174	495
260	174	494
261	175	494
262	176	493
263	176	493
264	177	492
265	178	491
266	178	490
267	179	490
268	180	489
269	180	488
270	181	487
271	181	486
272	182	486
273	183	485
274	183	484
275	184	483
276	185	483
277	185	482
278	186	481
279	186	480
280	187	479
281	187	478
282	188	477
283	189	477
284	190	476
285	190	475
286	191	474
287	191	473
288	192	472
289	192	471
290	193	470
291	193	469
292	194	468
293	195	468
294	195	467
295	196	466
296	196	466
297	197	465
298	198	464
299	198	464
300	199	463
301	200	462
302	200	461
303	201	460
304	201	459
305	202	458
306	202	457
307	203	456
308	203	455
309	204	455
310	205	454
311	205	453
312	206	452
313	206	451
314	207	450
315	207	449
316	208	448
317	208	447
318	209	446
319	209	445
320	210	445
321	211	444
322	211	443
323	212	443
324	213	442
325	213	441
326	214	441
327	215	441
328	216	440
329	216	439
330	217	438
331	217	437
332	218	437
333	219	437
334	219	436
335	220	436
336	221	435
337	221	434
338	222	433
339	222	432
340	223	431
341	223	430
342	224	429
