iter	RMSE
0	328492.2851
1	318447.7244
2	308249.3075
3	299183.6938
4	290539.509
5	282002.6383
6	273912.1627
7	266012.4618
8	258540.1966
9	251517.9239
10	245011.9539
11	238741.6862
12	232671.7629
13	227165.2229
14	221734.7715
15	216610.1055
16	211571.7086
17	206681.1468
18	202340.2094
19	197982.6749
20	193969.3996
21	189920.3116
22	186087.9878
23	182558.594
24	179314.4836
25	175886.2493
26	173030.5086
27	169914.8977
28	166867.2203
29	164298.1737
30	161702.5377
31	159144.7856
32	156840.5499
33	154518.5285
34	152264.7441
35	150113.4952
36	148112.751
37	146295.3072
38	144620.1941
39	142982.864
40	141316.4905
41	139783.1978
42	138334.9134
43	137027.4824
44	135831.3899
45	134597.224
46	133283.7228
47	132054.1372
48	130925.9305
49	129745.8061
50	128745.3767
51	127763.1719
52	126747.9982
53	125799.9498
54	124833.7336
55	123916.9322
56	123102.9815
57	122331.1003
58	121615.8518
59	121027.7667
60	120389.6518
61	119755.3578
62	119118.4437
63	118483.5228
64	117895.5022
65	117364.8951
66	116827.2627
67	116396.0865
68	115909.7114
69	115457.3624
70	115010.3814
71	114598.5422
72	114209.8896
73	113862.0456
74	113507.7591
75	113151.9226
76	112836.8564
77	112535.5687
78	112232.5324
79	111921.4392
80	111621.0437
81	111324.2877
82	111046.6038
83	110808.2111
84	110563.9563
85	110351.5253
86	110122.3917
87	109970.2155
88	109768.902
89	109562.5449
90	109366.3621
91	109172.8587
92	109003.7382
93	108846.4226
94	108686.8852
95	108522.0031
96	108352.0822
97	108187.4926
98	108035.5265
99	107890.4472
100	107738.1143
101	107623.963
102	107487.5424
103	107341.0821
104	107268.4277
105	107145.1844
106	107048.0347
107	106958.4728
108	106862.9761
109	106755.3008
110	106665.0845
111	106583.8355
112	106484.9368
113	106420.5811
114	106322.9358
115	106262.653
116	106171.4504
117	106105.1318
118	106027.5233
119	105959.992
120	105884.1311
121	105808.5252
122	105727.2633
123	105670.9925
124	105599.8856
125	105547.4672
126	105477.2467
127	105414.4623
128	105352.0429
129	105295.1574
130	105245.1305
131	105193.8774
132	105149.6372
133	105100.9988
134	105051.1604
135	104991.879
136	104939.7543
137	104889.381
138	104850.7928
139	104812.4234
140	104764.2508
141	104725.3146
142	104678.9919
143	104637.8695
144	104596.8274
145	104550.2478
146	104505.2601
147	104454.4762
148	104426.5452
149	104383.9384
150	104351.9452
151	104310.8427
152	104263.2153
153	104233.7515
154	104197.3858
155	104157.7661
156	104131.6186
157	104105.7022
158	104072.9778
159	104028.4806
160	104004.4544
161	103971.8832
162	103928.5254
163	103892.6666
164	103869.2822
165	103826.0354
166	103774.6308
167	103742.3681
168	103715.0005
169	103689.2327
170	103652.0685
171	103601.3094
172	103555.7441
173	103505.1226
174	103479.1392
175	103452.5779
176	103416.906
177	103377.2228
178	103339.8894
179	103306.7392
180	103279.7753
181	103246.9628
182	103216.2887
183	103189.6335
184	103149.2159
185	103107.8244
186	103078.1754
187	103037.4984
188	103013.479
189	102981.3535
190	102949.0679
191	102905.9203
192	102867.7119
193	102823.6368
194	102789.6583
195	102755.4405
196	102731.6801
197	102699.7081
198	102662.397
199	102639.4643
