Time,Bill
2008-01-01,430
2008-02-01,160
2008-03-01,201
2008-04-01,271
2008-05-01,273
2008-06-01,275
2008-07-01,250
2008-08-01,260
2008-09-01,276
2008-10-01,287
2008-11-01,280
2008-12-01,240
2009-01-01,190
2009-02-01,240
2009-03-01,280
2009-04-01,410
2009-05-01,500
2009-06-01,390
2009-07-01,480
2009-08-01,280
2009-09-01,380
2009-10-01,480
2009-11-01,430
2009-12-01,330
2010-01-01,260
2010-02-01,210
2010-03-01,310
2010-04-01,500
2010-05-01,660
2010-06-01,690
2010-07-01,520
2010-08-01,420
2010-09-01,380
2010-10-01,380
2010-11-01,390
2010-12-01,330
2011-01-01,280
2011-02-01,250
2011-03-01,240
2011-04-01,401
2011-05-01,520
2011-06-01,600
2011-07-01,370
2011-08-01,270
2011-09-01,300
2011-10-01,270
2011-11-01,420
2011-12-01,360
2012-01-01,270
2012-02-01,230
2012-03-01,330
2012-04-01,420
2012-05-01,590
2012-06-01,650
2012-07-01,490
2012-08-01,430
2012-09-01,380
2012-10-01,510
2012-11-01,680
2012-12-01,450
2013-01-01,400
2013-02-01,420
2013-03-01,590
2013-04-01,570
2013-05-01,660
2013-06-01,910
2013-07-01,710
2013-08-01,350
2013-09-01,410
2013-10-01,650
2013-11-01,860
2013-12-01,700
2014-01-01,490
2014-02-01,390
2014-03-01,810
2014-04-01,590
2014-05-01,950
2014-06-01,960
2014-07-01,850
2014-08-01,660
2014-09-01,595
2014-10-01,680
2014-11-01,650
2014-12-01,500
2015-01-01,475
2015-02-01,400
2015-03-01,680
2015-04-01,710
2015-05-01,1600
2015-06-01,890
2015-07-01,730
2015-08-01,1014
2015-09-01,1020
2015-10-01,730
2015-11-01,720
2015-12-01,570
2016-01-01,430
2016-02-01,390
2016-03-01,560
2016-04-01,610
2016-05-01,745
2016-06-01,810
2016-07-01,700
2016-08-01,608
2016-09-01,540
2016-10-01,680
2016-11-01,763
2016-12-01,350
2017-01-01,400
2017-02-01,470
2017-03-01,580
2017-04-01,640
2017-05-01,790
2017-06-01,940
2017-07-01,800
2017-08-01,431
2017-09-01,660
2017-10-01,710
2017-11-01,800
2017-12-01,690
2018-01-01,540
2018-02-01,428
2018-03-01,500
2018-04-01,600
2018-05-01,748
2018-06-01,927
2018-07-01,831
2018-08-01,810
2018-09-01,700
2018-10-01,610
2018-11-01,660
2018-12-01,440
2019-01-01,830
2019-02-01,340
2019-03-01,460
2019-04-01,790
2019-05-01,875
2019-06-01,746
2019-07-01,680
2019-08-01,710
2019-09-01,715
2019-10-01,600
2019-11-01,750
2019-12-01,700
