iter	Logloss
0	0.6899102529
1	0.6860470454
2	0.6825040817
3	0.6796419779
4	0.6757499695
5	0.6724633535
6	0.669826889
7	0.6665337245
8	0.6625037511
9	0.6591892878
10	0.6567607244
11	0.6543914795
12	0.6517716726
13	0.6488673528
14	0.6454228719
15	0.6429991404
16	0.640429306
17	0.6376397451
18	0.6356115977
19	0.6326224009
20	0.6306098938
21	0.6274820964
22	0.6256351471
23	0.6234336217
24	0.621023496
25	0.6183810552
26	0.61608874
27	0.6142640432
28	0.6116767883
29	0.6089659373
30	0.6064057668
31	0.6036102931
32	0.6015272141
33	0.5993002574
34	0.5970252991
35	0.5951141993
36	0.5927967707
37	0.5906123479
38	0.5883536021
39	0.5863204956
40	0.5844256719
41	0.5826621373
42	0.581074206
43	0.579248174
44	0.5772646586
45	0.575398763
46	0.5737767537
47	0.5716480255
48	0.5698008219
49	0.5678587596
50	0.565861702
51	0.5635828654
52	0.5615357717
53	0.5594295502
54	0.558047994
55	0.5566572189
56	0.5551132838
57	0.5538427989
58	0.5521182378
59	0.5502280553
60	0.5486937205
61	0.5473100026
62	0.5458562851
63	0.5439042409
64	0.5424580892
65	0.541109848
66	0.5400812785
67	0.5383850098
68	0.536894989
69	0.5352734884
70	0.5338209788
71	0.5321417491
72	0.5307196935
73	0.5293870926
74	0.5281153361
75	0.5265066465
76	0.5255464872
77	0.5241695404
78	0.5228411039
79	0.5217135747
80	0.5202522596
81	0.5192687988
82	0.5179174105
83	0.5168212573
84	0.5157040278
85	0.5146910985
86	0.5134712537
87	0.5120827039
88	0.5105534871
89	0.5093688965
90	0.5081729253
91	0.507115682
92	0.5060604731
93	0.5047123273
94	0.5035853068
95	0.5021519343
96	0.5013898214
97	0.5000293732
98	0.4986287435
99	0.4974560102
100	0.496504275
101	0.4955241203
102	0.4944522858
103	0.4932181994
104	0.4922367096
105	0.4911414782
106	0.4902973811
107	0.4888143539
108	0.4880800883
109	0.4872408231
110	0.4861749649
111	0.485345459
112	0.4843594233
113	0.4837043762
114	0.4826761246
115	0.4816862424
116	0.4810366948
117	0.4800772985
118	0.4789290428
119	0.4780131658
120	0.4770058314
121	0.475999705
