iter	Passed	Remaining
0	4	4158
1	6	3395
2	8	2860
3	10	2592
4	12	2518
5	14	2428
6	16	2338
7	19	2408
8	22	2436
9	24	2383
10	25	2332
11	27	2284
12	29	2259
13	31	2232
14	33	2224
15	36	2261
16	38	2239
17	40	2211
18	42	2185
19	45	2225
20	47	2200
21	49	2192
22	53	2272
23	55	2262
24	57	2254
25	60	2254
26	62	2236
27	63	2221
28	67	2270
29	69	2253
30	71	2242
31	74	2241
32	76	2231
33	78	2226
34	80	2215
35	84	2251
36	86	2248
37	88	2246
38	91	2250
39	93	2249
40	96	2259
41	100	2293
42	102	2277
43	104	2276
44	106	2262
45	108	2254
46	111	2258
47	116	2310
48	118	2301
49	120	2287
50	122	2274
51	124	2266
52	126	2256
53	128	2254
54	132	2274
55	134	2265
56	137	2273
57	140	2274
58	142	2271
59	147	2304
60	149	2296
61	151	2290
62	153	2286
63	155	2277
64	157	2267
65	161	2281
66	163	2277
67	165	2265
68	167	2255
69	169	2248
70	171	2239
71	173	2229
72	176	2241
73	179	2251
74	182	2254
75	184	2244
76	186	2235
77	189	2236
78	194	2268
79	196	2258
80	198	2247
81	199	2237
82	201	2231
83	204	2229
84	209	2258
85	212	2254
86	214	2248
87	216	2238
88	217	2229
89	220	2225
90	222	2223
91	225	2222
92	227	2214
93	228	2206
94	230	2197
95	232	2190
96	234	2187
97	236	2179
98	241	2194
99	242	2186
100	244	2179
101	247	2177
102	249	2176
103	252	2175
104	256	2184
105	258	2177
106	260	2171
107	262	2166
108	264	2159
109	266	2153
110	268	2149
111	271	2154
112	273	2148
113	275	2141
114	278	2140
115	280	2134
116	281	2128
117	285	2137
118	289	2144
119	293	2150
120	295	2144
121	297	2137
122	299	2132
123	308	2179
124	310	2175
125	313	2172
126	315	2165
127	319	2178
128	322	2179
129	325	2176
130	327	2172
131	331	2176
132	338	2209
133	342	2211
134	344	2206
135	346	2203
136	357	2249
137	359	2242
138	360	2235
139	362	2227
140	370	2255
141	373	2254
142	375	2249
143	377	2244
144	388	2289
145	391	2287
146	393	2284
147	395	2276
148	404	2311
149	406	2305
150	408	2297
151	410	2290
152	418	2314
153	421	2315
154	424	2311
155	433	2345
156	437	2348
157	439	2344
158	442	2338
159	457	2399
160	464	2419
161	470	2434
162	472	2428
163	482	2461
164	488	2473
165	501	2519
166	505	2521
167	510	2529
168	518	2549
169	521	2546
170	532	2581
171	535	2578
172	538	2572
173	549	2609
174	553	2611
175	559	2621
176	565	2630
177	567	2621
178	569	2611
179	572	2605
180	580	2625
181	583	2622
182	586	2617
183	594	2636
184	599	2641
185	601	2633
186	607	2640
187	613	2650
188	616	2643
189	619	2639
190	626	2652
191	637	2683
192	641	2680
193	643	2672
194	650	2687
195	655	2687
196	657	2679
197	659	2670
198	666	2681
199	668	2675
200	671	2670
201	681	2691
202	685	2692
203	688	2685
